Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31 00:00:00-05:00,3.1801275202840547,3.2290525493326916,3.1312024912354177,3.2192676067352295,180779,0.0,0.0
1982-01-04 00:00:00-05:00,3.1801274765955743,3.2192675625090437,3.1312024482190677,3.1507723331451416,80864,0.0,0.0
1982-01-05 00:00:00-05:00,3.1018462245608007,3.131201357788404,3.072491407394409,3.072491407394409,152413,0.0,0.0
1982-01-06 00:00:00-05:00,3.0333516662120124,3.092061623014399,2.974641709409626,3.013781785964966,364098,0.0,0.0
1982-01-07 00:00:00-05:00,3.0137822533300733,3.0431370782528706,2.9746421707050485,3.0333521366119385,362405,0.0,0.0
1982-01-08 00:00:00-05:00,2.9746408462524414,2.99421072082086,2.9550706556228676,2.9746408462524414,270533,0.0,0.0
1982-01-11 00:00:00-05:00,2.8963612887113714,2.974641434589944,2.8082962036132812,2.8082962036132812,453853,0.0,0.0
1982-01-12 00:00:00-05:00,2.8474344588065916,2.8865745067596436,2.7985094778805304,2.8865745067596436,175699,0.0,0.0
1982-01-13 00:00:00-05:00,2.857220889334498,2.89636095780203,2.8180808208669657,2.84743595123291,154953,0.0,0.0
1982-01-14 00:00:00-05:00,2.827868689783256,2.837653636932373,2.8082984794235486,2.837653636932373,262913,0.0,0.0
1982-01-15 00:00:00-05:00,2.8180834265726658,2.837653636932373,2.7887285851253143,2.837653636932373,393734,0.0,0.0
1982-01-18 00:00:00-05:00,2.8180834265726658,2.837653636932373,2.7985135322744314,2.837653636932373,83827,0.0,0.0
1982-01-19 00:00:00-05:00,2.827865918613455,2.86700566885489,2.778940914750499,2.798510789871216,574090,0.0,0.0
1982-01-20 00:00:00-05:00,2.739800771531705,2.808295648592478,2.6615206411241177,2.681090831756592,791279,0.0,0.0
1982-01-21 00:00:00-05:00,2.6125964634051937,2.7104464992743766,2.5049614871613435,2.5147464275360107,296782,0.0,0.0
1982-01-22 00:00:00-05:00,2.514746281263133,2.563671296351949,2.4658212661743164,2.4658212661743164,690940,0.0,0.0
1982-01-25 00:00:00-05:00,2.3973258332050116,2.436465902280322,2.3484008258761704,2.4071109294891357,483489,0.0,0.0
1982-01-26 00:00:00-05:00,2.446251318497478,2.4853913952202173,2.4071113998053626,2.4266812801361084,330652,0.0,0.0
1982-01-27 00:00:00-05:00,2.495177400015875,2.544102437779087,2.436467417912297,2.5343174934387207,201948,0.0,0.0
1982-01-28 00:00:00-05:00,2.6615212531888823,2.759371280670166,2.5538862861717155,2.759371280670166,270957,0.0,0.0
1982-01-29 00:00:00-05:00,2.7398006146797735,2.7887256143683,2.6810906782657686,2.7789406776428223,206181,0.0,0.0
1982-02-01 00:00:00-05:00,2.661521850541607,2.7202318169950135,2.602811884088201,2.6223819255828857,266300,0.0,0.0
1982-02-02 00:00:00-05:00,2.6615206411241177,2.7006607063279113,2.622380733950901,2.681090831756592,202371,0.0,0.0
1982-02-03 00:00:00-05:00,2.6615206398926463,2.681090830516066,2.6419506072998047,2.6419506072998047,37680,0.0,0.0
1982-02-04 00:00:00-05:00,2.6223816832414486,2.6419515648969787,2.602811643555284,2.632166624069214,347163,0.0,0.0
1982-02-05 00:00:00-05:00,2.690876007080078,2.730016075746245,2.651735938413911,2.690876007080078,174852,0.0,0.0
1982-02-08 00:00:00-05:00,2.671305577173779,2.720230579640595,2.62238073273754,2.6419506072998047,85521,0.0,0.0
1982-02-09 00:00:00-05:00,2.632166867314904,2.651736908809589,2.602811884088201,2.6223819255828857,120237,0.0,0.0
1982-02-10 00:00:00-05:00,2.6713056577760446,2.7006607865663392,2.6321657494399555,2.651735782623291,80864,0.0,0.0
1982-02-11 00:00:00-05:00,2.641950449684301,2.661520481109619,2.622380576289551,2.661520481109619,76207,0.0,0.0
1982-02-12 00:00:00-05:00,2.6810911493576564,2.7006610262472166,2.6517360179621248,2.6713058948516846,234547,0.0,0.0
1982-02-16 00:00:00-05:00,2.632166624069214,2.6517366637553783,2.602811643555284,2.632166624069214,246825,0.0,0.0
1982-02-17 00:00:00-05:00,2.6713058948516846,2.6908760878024367,2.6517360179621248,2.6713058948516846,215919,0.0,0.0
1982-02-18 00:00:00-05:00,2.6810911493576564,2.7006610262472166,2.6615209564069047,2.6713058948516846,185859,0.0,0.0
1982-02-19 00:00:00-05:00,2.6321670368909547,2.6615220220088385,2.593026951380004,2.6028120517730713,530483,0.0,0.0
1982-02-22 00:00:00-05:00,2.622382266033994,2.6615221960740616,2.583242177963257,2.583242177963257,106689,0.0,0.0
1982-02-23 00:00:00-05:00,2.583238703265306,2.612593650817871,2.553883755712741,2.612593650817871,127434,0.0,0.0
1982-02-24 00:00:00-05:00,2.5538871909255385,2.583242177963257,2.5147471028548014,2.583242177963257,372989,0.0,0.0
1982-02-25 00:00:00-05:00,2.5832412267834526,2.6028112636129035,2.563671189954002,2.573456287384033,265876,0.0,0.0
1982-02-26 00:00:00-05:00,2.5538870540149223,2.5734570970011656,2.5343170110286786,2.5441019535064697,163844,0.0,0.0
1982-03-01 00:00:00-05:00,2.416896343231201,2.524531475348625,2.299476270935204,2.416896343231201,578323,0.0,0.0
