Date,Open,High,Low,Close,Volume,log_return,log_return_open,log_return_high,log_return_low,log_return_volume,log_return_forecast,sma,wma,ema,dema,tema,aroon,rsi,willr,cci,ad,mom,slowk,slowd,macd,fed_funds_rate,^N225,^IXIC,^FTSE,^SPX,^DJI
2004-10-08 04:00:00,3.471471071243286,3.495495080947876,3.428929090499878,3.4466969966888428,221390388,-0.00809896131363622,0.013060727841203042,-0.0014310578057140982,0.0034361638188790647,-0.24304774648940508,-0.018096426331212924,1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1.76,-0.0004616145562642694,-0.014760574414867871,4.2501708777706196e-05,-0.007555120625710654,-0.006957223911296268
2004-10-11 04:00:00,3.4284279346466064,3.474975109100342,3.349600076675415,3.38488507270813,209442348,-0.018096426331212924,-0.01247661593917066,-0.005887703573843989,-0.02340703530063291,-0.055479091751223335,0.015697326811001302,1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1.76,0.0,0.004567768791484344,-0.0028557844060579413,0.0020030898523294783,0.0026587198819768114
2004-10-12 04:00:00,3.3643639087677,3.4436941146850586,3.3383378982543945,3.4384379386901855,233310456,0.015697326811001302,-0.018862914363861605,-0.009042550395504424,-0.0033679107397954966,0.10792148290748978,0.02515418005853657,1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,1.76,-0.013085105118636222,-0.0018630160945459554,-0.008057149904355507,-0.002270515437695603,-0.00047522234735814813
2004-10-13 04:00:00,3.5865869522094727,3.592341899871826,3.5055060386657715,3.5260260105133057,395324280,0.02515418005853657,0.05823489716166421,0.042259563869461385,0.04886183841557769,0.5273363942672242,0.0077767850726921635,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1.76,-0.0005196346176133249,-0.002413093487085338,-0.002822477677053964,-0.0073272330308141185,-0.007455356922697073
2004-10-14 04:00:00,3.5287790298461914,3.563062906265259,3.4674670696258545,3.553554058074951,208842948,0.0077767850726921635,-0.016249113380826997,-0.008183787727326626,-0.010910509991229448,-0.6381238656089991,0.014749572264392613,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1.76,-0.014547998965689314,-0.009159096624873849,-0.001165757027276873,-0.0093462705073405,-0.01084406004323325
2004-10-15 04:00:00,3.6268770694732666,3.641140937805176,3.5523018836975098,3.606355905532837,263895840,0.014749572264392613,0.027420039339304394,0.021676535098261073,0.024171434999935352,0.23397195532579512,0.034442858082087774,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.76,-0.004663612355938933,0.004446165910760433,-0.0014482567485344555,0.004440372959780712,0.003926777400238426
2004-10-18 04:00:00,3.5835840702056885,3.733733892440796,3.5337839126586914,3.732733011245727,280726992,0.034442858082087774,-0.01200853001839751,0.025111699508397093,-0.005226584528012924,0.06182815850756192,-0.008212876318706345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.76,-0.0015791535830926196,0.013004283761933473,0.0008432859678751367,0.005238078807163645,0.00230676577673067
2004-10-19 04:00:00,3.766266107559204,3.8138139247894287,3.687437057495117,3.702202081680298,362197440,-0.008212876318706345,0.04972065173126155,0.021220942074955052,0.04256242559620365,0.25480683916026176,-0.05167040203107586,1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,1.76,0.009009418182156543,-0.00705808204537892,0.006162638123696756,-0.009732889155441314,-0.005913220759753138
2004-10-20 04:00:00,3.704453945159912,3.728477954864502,3.49349308013916,3.515765905380249,454453092,-0.05167040203107586,-0.016548223606099116,-0.022629623188006247,-0.05279965413643007,0.22690522286437947,0.06135700536829612,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1.76,-0.01664779240067741,0.005223189161242156,-0.008369756906179898,0.00038973733491613603,-0.0010806847599225823
2004-10-21 04:00:00,3.613614082336426,3.757006883621216,3.544044017791748,3.7382380962371826,582996420,0.05826113132238606,-0.024827462274741266,0.007622503419831209,0.01436633480911946,0.24908634530939994,0.14349796345537277,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1.76,-0.00857810249010329,0.01062639430064404,0.00021659555655555564,0.0025608737597132545,-0.0021434984872133593
