Date,Open,High,Low,Close,Volume,log_return,log_return_open,log_return_high,log_return_low,log_return_volume,log_return_forecast,sma,wma,ema,dema,tema,aroon,rsi,willr,cci,ad,mom,slowk,slowd,macd,fed_funds_rate,^N225,^IXIC,^FTSE,^SPX,^DJI
1999-03-10 05:00:00,23.35811473846436,23.35811473846436,22.943080716814315,23.241905212402344,3377600,-0.0014276512653336778,-0.004255424844286452,-0.021793580440751092,-0.014368162541068407,-0.26097861663785044,0.014889277099337425,1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,4.81,0.025072678333641445,0.0054429065566420866,0.0006089821054974068,0.005454530788181005,0.008124738241578175
1999-03-11 05:00:00,23.308326146704974,23.673556328490953,23.27512340290625,23.59054946899414,3693400,0.014889277099337425,-0.0021338079230460976,0.013414208465438813,0.01436872787250683,0.08938204491771608,-0.0028193262182264677,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,4.81,0.001429188071399982,0.0025943043658690304,0.01497979762462836,0.008388521949356046,0.012669087658519707
1999-03-12 05:00:00,23.607140505406413,23.69014732856185,23.37472140057119,23.524133682250977,3403200,-0.0028193262182264677,0.012738587965623544,0.0007005786907887748,0.004270031311646244,-0.0818312775657996,0.026463619493622352,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,4.81,-0.0008569776830502001,-0.012816771334551523,-0.00848006703951613,-0.0023840798458280715,-0.002133210504289108
1999-03-15 05:00:00,23.87275469016373,24.204781876396886,23.789747893605444,24.15497779846191,6704200,0.026463619493622352,0.0111886074965156,0.02149097467047712,0.017599570688894076,0.678018030206514,-0.007587919050352884,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.81,0.01859686324899497,0.020740499749215824,-0.01207483493439287,0.009739334869484768,0.008310552172942859
1999-03-16 05:00:00,24.08859503104086,24.22140603052282,23.9557840315589,23.97238540649414,3318400,-0.007587919050352884,0.009000655705664383,0.0006865770566506887,0.006955072048167607,-0.7032514566172785,-0.0034692107085683966,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,4.81,0.018411724263134976,0.0032151718878646062,-0.0007897527886261766,-0.0006733941255370548,-0.002845742204505819
1999-03-17 05:00:00,23.92256697256421,23.972371067579957,23.739951957506467,23.88936424255371,3925200,-0.0034692107085683966,-0.0069162550278305665,-0.010334827213178844,-0.009050433663082776,0.16793456629713033,-0.0013902777013806173,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,4.81,0.012077105311428893,-0.004231535100190879,-0.009933207813206857,-0.006574064652108874,-0.005154971527820993
1999-03-18 05:00:00,23.73996485084316,23.972384087145123,23.690160728778455,23.85617446899414,3187400,-0.0013902777013806173,-0.007662329638606748,5.431069622468775e-07,-0.0020995626701541923,-0.20821176790680532,0.013821839395944611,1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,4.81,-0.03440531361896989,0.013896575668561256,-0.004292215123107633,0.01432882341633394,0.01189426719589014
1999-03-19 05:00:00,24.022186270133226,24.354213723763262,23.922578034044214,24.18819999694824,7219800,0.013821839395944611,0.011817922657295796,0.015802377969975072,0.009762897802450557,0.8176217142466385,0.006157989705068615,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,4.81,0.041185153516688944,-0.01707165882159116,0.007965896836979151,-0.013196724322540323,-0.009453817387968036
1999-03-22 05:00:00,24.07198830483555,24.50362395719812,24.03878556234612,24.337610244750977,3780200,0.006157989705068615,0.002071022236812587,0.006116140471112383,0.004845890399815875,-0.6470503334053158,-0.015120340691064115,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,4.81,0.0,-0.010516590219671034,-0.0016889238546976516,-0.0017563685553442677,-0.0013175711533685898
1999-03-23 05:00:00,24.453825279616257,24.58663627909822,23.905979906753164,23.97238540649414,6090800,-0.015120340691064115,0.01573780335077164,0.0033820314101423903,-0.005539958072854024,0.4770025176997214,0.004835750394879096,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.81,-0.022204875369372355,-0.030985000947104522,-0.015114926088599177,-0.027252918338161458,-0.022358143121661248
1999-03-24 05:00:00,23.98898239056872,24.121793365741414,23.80636729970626,24.08859062194824,4751600,0.004835750394879096,-0.019191998952634987,-0.019087333734053243,-0.004175554447017874,-0.24829803255119284,0.014368585790854968,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,4.81,-0.03194416281928161,0.018105807755972682,-0.007253336205060108,0.005097315942202638,-0.0005160886975082759
