Date,Open,High,Low,Close,Volume,log_return,log_return_open,log_return_high,log_return_low,log_return_volume,log_return_forecast,sma,wma,ema,dema,tema,aroon,rsi,willr,cci,ad,mom,slowk,slowd,macd,fed_funds_rate,^N225,^IXIC,^FTSE,^SPX,^DJI
1999-03-25 05:00:00,43.1276741027832,43.43929024514435,42.629088275005365,43.1276741027832,1825500,0.009438100161352308,0.027841269518993662,0.012270736137866048,0.02217450104037406,-0.1607260331617276,-0.02413384961607405,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,4.81,0.029878270751096066,0.0289682171350361,0.011287757716120844,0.016728438297045976,0.017387282062636476
1999-03-26 05:00:00,43.127628758428365,43.127628758428365,41.818842336568544,42.09929656982422,1211400,-0.02413384961607405,-1.0513986580755249e-06,-0.007200506541512298,-0.019189832049526775,-0.41007720654884483,0.02557695162225013,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,4.81,0.0019342046485699912,-0.006440163853496231,0.008867745885058393,-0.005589231934668773,-0.0014395119690647693
1999-03-29 05:00:00,43.37692617441152,43.65738043847022,43.03414874056201,43.18995666503906,2345900,0.02557695162225013,0.005763814549350489,0.012208519991992422,0.028646945710265378,0.6608924080121205,0.015038201657517621,-1,1,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,4.81,-0.00050898857460224,0.029998184197471654,0.01835086819129515,0.021111706427016097,0.018613664458948347
1999-03-30 05:00:00,43.15880907624007,44.062495331266035,42.90951631623291,43.844364166259766,1654300,0.015038201657517621,-0.005041097979948899,0.009236624412488363,-0.002900330387659991,-0.34929116494599693,-0.035446800122644534,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,4.81,-0.009396323349120867,-0.005047153462365459,0.0018055773223194565,-0.007215912139310645,-0.009389659331661653
1999-03-31 05:00:00,44.43643219937984,44.498755386195235,42.31744384765625,42.31744384765625,1664600,-0.035446800122644534,0.029173131225905653,0.009852245316114758,-0.013894241736910439,0.006206895699024367,0.02329094771316377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,4.81,-0.001421660991974391,-0.0076452504924921704,0.004952374367996052,-0.011116726708976845,-0.01290407266214858
1999-04-01 05:00:00,42.78487757675939,43.43927118863991,42.31745356827331,43.31462478637695,1405000,0.02329094771316377,-0.03787496549920254,-0.024097321871992785,2.2970706785208403e-07,-0.16954755154414855,-0.007220401776028236,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,4.74,0.030531375686509255,0.0129050020111254,0.005496943949925095,0.00569747223213796,0.004725059934616201
1999-04-05 04:00:00,43.252294932932095,43.37694131602411,42.50441663437995,43.00300216674805,1973500,-0.007220401776028236,0.010865581496237673,-0.0014359042286454732,0.004408376482224885,0.3397713133350556,-0.0036297567605083577,1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,4.74,0.0004421424354270636,0.026395462512323484,0.0,0.020958091279580027,0.017623613765618367
1999-04-06 04:00:00,43.09648744062944,43.12764903675426,42.31744753750888,42.84719467163086,1208900,-0.0036297567605083577,-0.003608798111921201,-0.005763693426679393,-0.00440851899469536,-0.4900977608949555,-0.006566841899316004,1,-1,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,4.74,0.008833390438792279,0.0012140246192590667,0.013385495766860208,-0.0024478740661519425,-0.004390396937518315
1999-04-07 04:00:00,43.314624160833624,43.314624160833624,42.25512975689957,42.56674575805664,1595700,-0.006566841899316004,0.005048822530599559,0.004326018017742723,-0.0014737115476802368,0.27760165620843535,0.03594920602273349,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,4.74,0.004527984060073707,-0.007338113738039912,0.00898487491012828,0.006805885283716106,0.012152431699327242
1999-04-08 04:00:00,42.816037355843235,44.52992531404657,42.691390958883,44.12482452392578,2185400,0.03594920602273349,-0.011577581442639026,0.02767112370493381,0.010271522221633446,0.3144863667202634,0.019581033704049684,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,4.74,0.01749619768333803,0.011317424622494375,-0.005468222020205513,0.012797477296876645,0.01108235677067557
