Date,Open,High,Low,Close,Volume,log_return,log_return_open,log_return_high,log_return_low,log_return_forecast,sma,wma,ema,dema,tema,aroon,rsi,willr,cci,ad,mom,slowk,slowd,macd,fed_funds_rate,^N225,^IXIC,^FTSE,^SPX,^DJI
1999-03-30 05:00:00,10003.83984375,10003.83984375,9874.41015625,9913.259765625,73970000,-0.009389659331661653,0.01838390782309815,-0.0036440015434736524,0.005361482147745302,-0.01290407266214858,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,4.81,-0.009396323349120867,-0.005047153462365459,0.0018055773223194565,-0.007215912139310645,-0.009389659331661653
1999-03-31 05:00:00,9914.3701171875,10002.33984375,9781.4501953125,9786.16015625,111740000,-0.01290407266214858,-0.008983771983717227,-0.00014995366694103325,-0.009458823207187857,0.004725059934616201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,4.81,-0.001421660991974391,-0.0076452504924921704,0.004952374367996052,-0.011116726708976845,-0.01290407266214858
1999-04-01 05:00:00,9786.4404296875,9840.0,9765.6298828125,9832.509765625,68310000,0.004725059934616201,-0.012987433728732746,-0.016363338934809065,-0.0016186884067668434,0.017623613765618367,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,4.74,0.030531375686509255,0.0129050020111254,0.005496943949925095,0.00569747223213796,0.004725059934616201
1999-04-05 04:00:00,9836.1201171875,10023.150390625,9836.1201171875,10007.330078125,71120000,0.017623613765618367,0.005063538321394024,0.018441745418030342,0.00719226989825139,-0.004390396937518315,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,4.74,0.0004421424354270636,0.026395462512323484,0.0,0.020958091279580027,0.017623613765618367
1999-04-06 04:00:00,10004.83984375,10030.3701171875,9915.759765625,9963.490234375,74900000,-0.004390396937518315,0.017007624011527882,0.0007200458265289056,0.008064050660782661,0.012152431699327242,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,1,4.74,0.008833390438792279,0.0012140246192590667,0.013385495766860208,-0.0024478740661519425,-0.004390396937518315
1999-04-07 04:00:00,9963.490234375,10089.75,9955.16015625,10085.3095703125,95470000,0.012152431699327242,-0.004141524936373616,0.005902554742903636,0.003965638472204998,0.01108235677067557,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.74,0.004527984060073707,-0.007338113738039912,0.00898487491012828,0.006805885283716106,0.012152431699327242
1999-04-08 04:00:00,10086.419921875,10209.080078125,10059.7802734375,10197.7001953125,91210000,0.01108235677067557,0.012262521571794633,0.011757470979992496,0.010454297418607783,-0.002342519262429947,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,4.74,0.01749619768333803,0.011317424622494375,-0.005468222020205513,0.012797477296876645,0.01108235677067557
1999-04-09 04:00:00,10197.7001953125,10212.1298828125,10094.4697265625,10173.83984375,79950000,-0.002342519262429947,0.010972266898207982,0.0002986899126944842,0.0034423992340229573,0.016152751950482405,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,4.74,0.0005306107340312454,0.007610753776973826,0.005406366524279735,0.0032462580933017085,-0.002342519262429947
1999-04-12 04:00:00,10174.1103515625,10340.6201171875,10096.6904296875,10339.509765625,84540000,0.016152751950482405,-0.0023159310498660074,0.012503621986378312,0.00021996785888179249,0.005353404255533848,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.74,-0.020875987725316257,0.002218862607874774,-0.00489386285306619,0.007595238080975959,0.016152751950482405
1999-04-13 04:00:00,10340.6201171875,10418.8701171875,10316.4697265625,10395.009765625,88310000,0.005353404255533848,0.016233547160542965,0.007538756464030471,0.021533930851643023,0.0016004862134845297,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,4.74,0.012507312535173922,-0.005908601747923855,0.011100659863702698,-0.006505632243595896,0.005353404255533848
